Name,Date,Century,Wikipedia_Link
Abbo of Fleury,c. 950 ??1004[b],1st??0th,https://en.wikipedia.org/wiki/Abbo_of_Fleury
Abd al-Jabbar ibn Ahmad,c. 935 ??1025[b],1st??0th,https://en.wikipedia.org/wiki/Abd_al-Jabbar_ibn_Ahmad
Abd al-Salam al-Jubba'i,died 933[b],1st??0th,https://en.wikipedia.org/w/index.php?title=Abd_al-Salam_al-Jubba%27i&action=edit&redlink=1
Abhinavagupta,fl. c. 975 ??1025[e],1st??0th,https://en.wikipedia.org/wiki/Abhinavagupta
AbÅ« á¸¤anÄ«fa,c. 699 ??767[b],1st??0th,https://en.wikipedia.org/wiki/Ab%C5%AB_%E1%B8%A4an%C4%ABfa
Abu al-Hudhayl,c. 750 ??840/850[b],1st??0th,https://en.wikipedia.org/w/index.php?title=Abu_al-Hudhayl&action=edit&redlink=1
Abu Ma'shar al-Balkhi,787 ??886[b],1st??0th,https://en.wikipedia.org/wiki/Abu_Ma%27shar_al-Balkhi
Abu Said Al-Sirafi,died 979[b],1st??0th,https://en.wikipedia.org/w/index.php?title=Abu_Said_Al-Sirafi&action=edit&redlink=1
Abu Tammam,859 ??937/947[b],1st??0th,https://en.wikipedia.org/wiki/Abu_Tammam
Abu Zayd al-Balkhi,c. 850 ??934[b],1st??0th,https://en.wikipedia.org/wiki/Abu_Zayd_al-Balkhi
Adi Shankara,c. 788 ??820[b],1st??0th,https://en.wikipedia.org/wiki/Adi_Shankara
Aedesius,died 355,1st??0th,https://en.wikipedia.org/wiki/Aedesius
Agrippa the Sceptic,1st/2nd century[e],1st??0th,https://en.wikipedia.org/wiki/Agrippa_the_Sceptic
Albinus,c. 130,1st??0th,https://en.wikipedia.org/wiki/Albinus_(philosopher)
Alcinous,2nd century[e],1st??0th,https://en.wikipedia.org/wiki/Alcinous_(philosopher)
Alcuin,c. 740 ??804[b],1st??0th,https://en.wikipedia.org/wiki/Alcuin
Alexander of Aphrodisias,2nd century[a][e][f],1st??0th,https://en.wikipedia.org/wiki/Alexander_of_Aphrodisias
Alhazen,965 ??c. 1040[b],1st??0th,https://en.wikipedia.org/wiki/Alhazen
Ali ibn Abbas al-Majusi,died c. 982[b],1st??0th,https://en.wikipedia.org/wiki/Ali_ibn_Abbas_al-Majusi
AbÅ« al-Ê¿AlÄÊ¾ al-MaÊ¿arrÄ«,December 973 ??May 1057 CE,1st??0th,https://en.wikipedia.org/wiki/Ab%C5%AB_al-%CA%BFAl%C4%81%CA%BE_al-Ma%CA%BFarr%C4%AB
Ambrose,c. 340 ??397[a],1st??0th,https://en.wikipedia.org/wiki/Ambrose
Abu'l Hasan Muhammad Ibn Yusuf al-'Amiri,died 992[e][b],1st??0th,https://en.wikipedia.org/wiki/Abu%27l_Hasan_Muhammad_Ibn_Yusuf_al-%27Amiri
Ammonius Hermiae,5th century[e][f],1st??0th,https://en.wikipedia.org/wiki/Ammonius_Hermiae
Ammonius Saccas,3rd century[a],1st??0th,https://en.wikipedia.org/wiki/Ammonius_Saccas
Anandavardhana,820 ??890,1st??0th,https://en.wikipedia.org/wiki/Anandavardhana
Apollonius of Tyana,2 ??98,1st??0th,https://en.wikipedia.org/wiki/Apollonius_of_Tyana
Apuleius,c. 123 ??c. 180[e],1st??0th,https://en.wikipedia.org/wiki/Apuleius
Aristides,fl. 2nd century,1st??0th,https://en.wikipedia.org/wiki/Aristides_(Apologist)
Arius,256 ??336,1st??0th,https://en.wikipedia.org/wiki/Arius
Al-Ash'ari,874 ??936[b],1st??0th,https://en.wikipedia.org/wiki/Al-Ash%27ari
Asanga,c. 4th century,1st??0th,https://en.wikipedia.org/wiki/Asanga
Aspasius,c. 100 ??150,1st??0th,https://en.wikipedia.org/wiki/Aspasius
Athanasius of Alexandria,298 ??373[a],1st??0th,https://en.wikipedia.org/wiki/Athanasius_of_Alexandria
Augustine of Hippo,354 ??430[a][c][d][e][f],1st??0th,https://en.wikipedia.org/wiki/Augustine_of_Hippo
Marcus Aurelius,121 ??180[a][c][d][e],1st??0th,https://en.wikipedia.org/wiki/Marcus_Aurelius
Avicenna,980 ??1037[a][b][c][d][e],1st??0th,https://en.wikipedia.org/wiki/Avicenna
Al-Baqillani,died 1013[b],1st??0th,https://en.wikipedia.org/wiki/Al-Baqillani
Basilides,c. 117 ??138[a],1st??0th,https://en.wikipedia.org/wiki/Basilides
Bede,672/3??35[b],1st??0th,https://en.wikipedia.org/wiki/Bede
Bhartrhari,5th century[e],1st??0th,https://en.wikipedia.org/wiki/Bhartrhari
Bodhidharma,c. 440 ??528,1st??0th,https://en.wikipedia.org/wiki/Bodhidharma
Anicius Manlius Severinus Boethius,480 ??524 or 525[a][c][d][e][f],1st??0th,https://en.wikipedia.org/wiki/Anicius_Manlius_Severinus_Boethius
Buddhaghosa,5th century[a],1st??0th,https://en.wikipedia.org/wiki/Buddhaghosa
Burchard of Worms,c. 950 ??1025[b],1st??0th,https://en.wikipedia.org/wiki/Burchard_of_Worms
Calcidius,4th century[e],1st??0th,https://en.wikipedia.org/wiki/Calcidius
Candidus Wizo,fl. 793 ??803[b],1st??0th,https://en.wikipedia.org/wiki/Candidus_Wizo
Candrakirti,born c. 600,1st??0th,https://en.wikipedia.org/wiki/Candrakirti
Celsus of Alexandria,2nd century[a][e],1st??0th,https://en.wikipedia.org/wiki/Celsus
Candrakirti,7th century,1st??0th,https://en.wikipedia.org/wiki/Candrakirti
Cheng Hsuan,127 ??200[e],1st??0th,https://en.wikipedia.org/wiki/Cheng_Hsuan
Chih Tun,314 ??366[e],1st??0th,https://en.wikipedia.org/wiki/Chih_Tun
Chrysanthius,4th century,1st??0th,https://en.wikipedia.org/wiki/Chrysanthius
Clement of Alexandria,2nd ??3rd century[a][e],1st??0th,https://en.wikipedia.org/wiki/Clement_of_Alexandria
Cleomedes,2nd century[e],1st??0th,https://en.wikipedia.org/wiki/Cleomedes
Cyril of Alexandria,376 ??444,1st??0th,https://en.wikipedia.org/wiki/Cyril_of_Alexandria
Damascius,c. 462 ??540[a][e],1st??0th,https://en.wikipedia.org/wiki/Damascius
David the Invincible,late 6th century[f],1st??0th,https://en.wikipedia.org/wiki/David_the_Invincible
David ibn Merwan al-Mukkamas,9th century[b],1st??0th,https://en.wikipedia.org/wiki/David_ibn_Merwan_al-Mukkamas
Dawud ibn Khalaf,815/8 ??874[b],1st??0th,https://en.wikipedia.org/wiki/Dawud_ibn_Khalaf
Demetrius the Cynic,1st century,1st??0th,https://en.wikipedia.org/wiki/Demetrius_the_Cynic
Dharmakirti,c. 7th century[a][e],1st??0th,https://en.wikipedia.org/wiki/Dharmakirti
